"n_years","AF_total_cost","AF_total_investment_cost","AF_total_running_cost","AF_insurance","AF_total_running_cost.1","AF_total_einkorn_cost","AF_total_wheat_cost","AF_total_dinkel_cost","ES3_application","AF_pruning","AF_root_pruning","AF_annual_irrigation_cost","AF_mowing_treerow","AF_fruit_harvest","AF_total_benefit","AF_tree_benefit","AF_einkorn_benefit","AF_wheat_benefit","AF_dinkel_benefit","ES3_subsidy","AF_chance_market_fluc","AF_bottom_line_benefit","AF_bottom_line_benefit_farm"
60,5360.06887568982,0,3906.92001054632,1453.1488651435,3906.92001054632,3904.45894024593,0,0,0,0,0,1.21158507245514,0,1.24948522793399,179644.042610657,148662.146457825,29421.6548273569,0,0,400,1,174283.973734967,173123.732409492
60,6616.61711022056,0,5102.80390736685,1513.81320285371,5102.80390736685,0,5100.17791176818,0,0,0,0,1.38392245458188,0,1.24207314408808,187143.609330881,152203.942914405,0,33324.5765958575,0,400,1,180526.99222066,179311.902400042
60,5332.22187569089,0,3995.24767698349,1336.9741987074,3995.24767698349,0,0,3992.70517811645,0,0,0,1.27617106990933,0,1.26632779712477,165282.068260931,142105.876006848,0,0,21618.3402922139,400,1,159949.84638524,158791.994423371
60,4715.11610929681,0,3256.38423850344,1458.73187079337,3256.38423850344,3253.99911355564,0,0,0,0,0,1.07931620512567,0,1.3058087426691,180334.235975507,162325.504188041,16348.9919992365,0,0,400,1,175619.11986621,174359.38007798
60,5954.35614455253,0,4548.03319383516,1406.32295071738,4548.03319383516,0,4545.587845825,0,0,0,0,1.2049177081863,0,1.24043030196731,173855.236819161,154628.576325188,0,17534.6737095631,0,400,1,167900.880674608,166608.893890198
60,5086.5254110761,0,3741.47022288414,1345.05518819196,3741.47022288414,0,0,3738.85763260048,0,0,0,1.35543116646222,0,1.25715911720321,166281.072323158,146080.892266888,0,0,18391.4120275914,400,1,161194.546912082,159785.778883403
60,4123.1053932114,0,2839.88085336104,1283.22453985036,2839.88085336104,2837.33648976659,0,0,0,0,0,1.21191788282273,0,1.33244571163076,158637.321643681,139781.983610848,17117.1190853867,0,0,400,1,154514.21625047,153175.997303024
60,4006.30365165442,0,2527.7551667867,1478.54848486772,2527.7551667867,0,2524.86933117301,0,0,0,0,1.44120319601849,0,1.44463241766973,182784.044627989,164389.307728994,0,16297.1640846825,0,400,1,178777.740976334,177080.168162022
60,4439.33083078164,0,3216.41346763473,1222.9173631469,3216.41346763473,0,0,3213.93015932499,0,0,0,1.27251727259207,0,1.21079103714585,151181.908587721,136437.650034599,0,0,12777.7181526588,400,1,146742.577756939,145176.037356476
60,4535.36661929281,0,3136.33541060589,1399.03120868692,3136.33541060589,3133.7959952488,0,0,0,0,0,1.41012398868183,0,1.12929136840505,172953.802666442,142828.99439278,28145.6268776809,0,0,400,1,168418.436047149,166839.254651168
60,5629.16463600476,0,4222.06243875777,1407.10219724699,4222.06243875777,0,4219.57689440976,0,0,0,0,1.31933091764818,0,1.16621343036255,173951.570374606,154386.59221005,0,17408.1645331716,0,400,1,168322.405738601,166565.592107216
60,4115.6551817009,0,2885.35262031449,1230.30256138641,2885.35262031449,0,0,2882.72469276033,0,0,0,1.36033696614695,0,1.26759058801466,152094.896168725,136145.81336875,0,0,13925.1513035107,400,1,147979.240987024,146355.30949056
60,4509.44489860044,0,3045.27932179828,1464.16557680216,3045.27932179828,3042.86912040183,0,0,0,0,0,1.26951313589772,0,1.14068826055218,181005.972324887,165506.161752688,13579.0794096593,0,0,400,1,176496.527426287,174975.796263747
60,4618.76113199998,0,3196.6621446009,1422.09898739908,3196.6621446009,0,3194.10649776514,0,0,0,0,1.23959875046062,0,1.31604808530116,175805.533222961,162873.801109302,0,11070.8154446195,0,400,1,171186.772090961,169725.855421922
60,5516.99831837177,0,4056.60099795684,1460.39732041492,4056.60099795684,0,0,4054.140756752,0,0,0,1.27510106714185,0,1.18514013770407,180540.125482051,153308.986596808,0,0,24931.8994179698,400,1.48504454495912,259917.140236109,257096.685025663
60,4076.43778015101,0,2577.08455502547,1499.35322512553,2577.08455502547,2574.71967103291,0,0,0,0,0,1.17373786989678,0,1.19114612266669,185356.009369542,165156.031182054,18078.1796406278,0,0,400,1,181279.571589391,179557.773042531
60,5855.72632813658,0,4571.56634178462,1284.15998635196,4571.56634178462,0,4568.76804644193,0,0,0,0,1.33756198853764,0,1.46073335414827,158752.965260949,133781.447040493,0,22556.5399077003,0,400,1,152897.238932812,150882.260620057
60,4385.82029757256,0,3198.1202590403,1187.70003853226,3198.1202590403,0,0,3195.64932547036,0,0,0,1.17805338330107,0,1.29288018664253,146828.202841901,137746.693587797,0,0,6809.17679095994,400,1,142442.382544329,140570.050081184
60,4513.75981964371,0,3208.67133190347,1305.08848774024,3208.67133190347,3205.89886594632,0,0,0,0,0,1.48443631141994,0,1.28802964573367,161340.229845711,145647.293284483,13264.9819219002,0,0,400,1.62491800442772,254830.154716201,251534.894710595
60,5752.75060436579,0,4304.20246475288,1448.54813961291,4304.20246475288,0,4301.71220569227,0,0,0,0,1.23634616189458,0,1.25391289871487,179075.282621173,164241.383757165,0,11876.4178198932,0,400,1,173322.532016808,170765.050972693
60,4751.86395901704,0,3369.01204844024,1382.8519105768,3369.01204844024,0,0,3366.48067889598,0,0,0,1.25684547719158,0,1.27452406707041,170953.653480888,157659.85755059,0,0,10459.6161069932,400,1,166201.789521871,163767.609698566
60,3709.85440018517,0,2492.98282256799,1216.87157761717,2492.98282256799,2490.36056276677,0,0,0,0,0,1.45866401383562,0,1.16359578739053,150434.504533415,130772.882031955,17116.246976446,0,0,400,1,146724.65013323,144579.274608216
60,4836.66286909985,0,3665.22363239183,1171.43923670802,3665.22363239183,0,3662.80789432718,0,0,0,0,1.26176994753117,0,1.15396811711415,144817.977843027,137575.35149905,0,4692.01870711374,0,400,1,139981.314973928,137830.707337064
60,5034.79378843097,0,3608.99466299137,1425.79912543961,3608.99466299137,0,0,3606.53861671951,0,0,0,1.24413391921183,0,1.21191235264867,176262.959004835,161258.419748103,0,0,12253.1548253229,400,1,171228.165216404,168876.780784995
60,4357.00302330842,0,3064.2992171296,1292.70380617882,3064.2992171296,3061.82162480555,0,0,0,0,0,1.3535455785462,0,1.12404674550092,159809.186251,147976.41483572,8866.17193737205,0,0,400,1,155452.183227691,152885.583749783
60,4341.16320804638,0,3027.63238666605,1313.53082138033,3027.63238666605,0,3025.05487516429,0,0,0,0,1.37813647229385,0,1.19937502946456,162383.904709693,144851.043633477,0,14600.3779419144,0,400,1,158042.741501647,155510.258367345
60,4870.08287405473,0,3475.50104835073,1394.581825704,3475.50104835073,0,0,3472.98165278868,0,0,0,1.24585317028588,0,1.27354239176287,172403.752244666,152991.860780171,0,0,16994.4452434427,400,1,167533.669370611,165516.223149559
