"n_years","Treeless_total_arable_total_cost","Treeless_total_einkorn_cost","Treeless_total_wheat_cost","Treeless_total_dinkel_cost","PPcost_einkorn","PPcost_wheat","PPcost_dinkel","Treeless_insurance","Treeless_total_benefit","Treeless_einkorn_benefit","Treeless_wheat_benefit","Treeless_dinkel_benefit","Treeless_bottom_line_benefit"
60,15818.1670714716,2657.92107397879,0,0,12747.2806321236,0,0,412.965365369199,51052.4210372515,51052.4210372515,0,0,59620.435904325
60,6430.51000220362,0,2608.74692898753,0,0,3725.30091095354,0,96.462162262548,11925.0361772798,0,11925.0361772798,0,5494.52617507618
60,11931.6836679109,0,0,4873.9893837006,0,0,6784.83290087679,272.861383333514,33732.209514218,0,0,33732.209514218,21800.5258463071
60,7193.02322437147,2532.01222596673,0,0,4453.07731107459,0,0,207.933687330145,25705.589484281,25705.589484281,0,0,18512.5662599096
60,7250.33250130874,0,2376.56824832783,0,0,4735.60264653813,0,138.161606442776,17080.0873264364,0,17080.0873264364,0,9829.75482512763
60,9769.01173748736,0,0,3451.79958674396,0,0,6123.38954951137,193.822601232036,23961.1208939684,0,0,23961.1208939684,14192.109156481
60,10475.1559084099,2861.56153506224,0,0,7273.63743141813,0,0,339.956941929493,42026.82934053,42026.82934053,0,0,31551.6734321201
60,15460.4654653859,0,3269.60024081474,0,0,11963.3845480785,0,227.480676492729,28122.066032736,0,28122.066032736,0,12661.6005673501
60,9007.84040943342,0,0,2678.58838423648,0,0,6021.76018047525,307.491844721692,38013.3648937326,0,0,38013.3648937326,29005.5244842992
60,12597.9332371223,2504.88410911474,0,0,9477.38527985417,0,0,615.663848153364,76110.8137125252,76110.8137125252,0,0,63512.8804754029
60,10533.9933118046,0,1908.58437948135,0,0,8506.28167143313,0,119.127260890141,14726.9858200839,0,14726.9858200839,0,4192.9925082793
60,6839.69746265846,0,0,2280.46914021809,0,0,4396.28691479034,162.94140765004,20143.464913372,0,0,20143.464913372,13303.7674507135
60,14014.0008550367,3186.52112113996,0,0,10394.2588028657,0,0,433.220931031065,53556.4946309118,53556.4946309118,0,0,39542.493775875
60,13692.8771196371,0,2142.1156397295,0,0,11210.9637795928,0,339.797700314796,42007.1432587374,0,42007.1432587374,0,28314.2661391004
60,8303.55466691931,0,0,2242.60691739162,0,0,5833.97452294442,226.973226583278,28059.333056547,0,0,28059.333056547,19755.7783896277
